date,home_team,away_team,home_goals,away_goals,home_win
2021-10-12,TBL,PIT,2,6,0
2021-10-13,TOR,MTL,2,1,1
2021-10-13,VGK,SEA,4,3,1
2021-10-13,WSH,NYR,5,1,1
2021-10-14,OTT,TOR,3,2,1
2021-10-14,NYR,DAL,2,3,0
2021-10-14,FLA,PIT,5,4,1
2021-10-14,DET,TBL,6,7,0
2021-10-14,EDM,VAN,3,2,1
2021-10-14,CBJ,ARI,8,2,1
2021-10-14,CAR,NYI,6,3,1
2021-10-14,BUF,MTL,5,1,1
2021-10-14,ANA,WPG,4,1,1
2021-10-14,COL,CHI,4,2,1
2021-10-15,LAK,VGK,6,2,1
2021-10-15,NJD,CHI,4,3,1
2021-10-15,NSH,SEA,3,4,0
2021-10-15,PHI,VAN,4,5,0
2021-10-16,MTL,NYR,1,3,0
2021-10-16,WSH,TBL,1,2,0
2021-10-16,PIT,CHI,5,2,1
2021-10-16,FLA,NYI,5,1,1
2021-10-16,TOR,OTT,3,1,1
2021-10-16,CBJ,SEA,2,1,1
2021-10-16,BUF,ARI,2,1,1
2021-10-16,BOS,DAL,3,1,1
2021-10-16,DET,VAN,3,1,1
2021-10-16,ANA,MIN,1,2,0
2021-10-17,SJS,WPG,4,3,1
2021-10-17,OTT,DAL,3,2,1
2021-10-17,NSH,CAR,2,3,0
2021-10-17,EDM,CGY,5,2,1
2021-10-17,COL,STL,3,5,0
2021-10-17,LAK,MIN,2,3,0
2021-10-18,PHI,SEA,6,1,1
2021-10-18,TOR,NYR,1,2,0
2021-10-19,PIT,DAL,1,2,0
2021-10-19,TBL,FLA,1,4,0
2021-10-19,WSH,COL,6,3,1
2021-10-19,NJD,SEA,4,2,1
2021-10-19,BUF,VAN,5,2,1
2021-10-19,DET,CBJ,4,1,1
2021-10-19,CGY,ANA,2,3,0
2021-10-19,ARI,STL,4,7,0
2021-10-19,MTL,SJS,0,5,0
2021-10-20,CHI,NYI,1,4,0
2021-10-20,EDM,ANA,6,5,1
2021-10-20,MIN,WPG,6,5,1
2021-10-20,NSH,LAK,2,1,1
2021-10-20,PHI,BOS,6,3,1
2021-10-21,OTT,SJS,1,2,0
2021-10-21,VGK,STL,1,3,0
2021-10-21,NJD,WSH,1,4,0
2021-10-21,CBJ,NYI,3,2,1
2021-10-21,FLA,COL,4,1,1
2021-10-21,MTL,CAR,1,4,0
2021-10-21,DET,CGY,0,3,0
2021-10-22,ARI,EDM,1,5,0
