date,home_team,away_team,home_goals,away_goals,home_win,game_key,season,home_elo_pre,away_elo_pre,elo_diff,home_elo,away_elo,home_elo_post,away_elo_post,home_rolling_win_pct,home_rolling_goal_diff,rest_days_x,home_rest_days,away_rolling_win_pct,away_rolling_goal_diff,away_rest_days,home_home_rolling_win_pct,home_home_rolling_goal_diff,away_away_rolling_win_pct,away_away_rolling_goal_diff,rest_diff
2021-10-12,TBL,PIT,2,6,0,2021-10-12|TBL|PIT|2|6,2021,1500.0,1500.0,40.0,1500.0,1500.0,1491.6403254935656,1508.3596745064344,0.3333333333333333,-0.3333333333333333,3.0,3.0,0.4,-0.4,3.0,0.0,-1.0,0.4,-0.5,0.0
2021-10-13,TOR,MTL,2,1,1,2021-10-13|TOR|MTL|2|1,2021,1500.0,1500.0,40.0,1500.0,1500.0,1506.6403254935656,1493.3596745064344,0.7,0.7,3.0,3.0,0.7,0.8,3.0,0.9,1.6,0.6,0.6,0.0
2021-10-13,VGK,SEA,4,3,1,2021-10-13|VGK|SEA|4|3,2021,1500.0,1500.0,40.0,1500.0,1500.0,1506.6403254935656,1493.3596745064344,0.2,-1.5,3.0,3.0,0.7,1.8,3.0,0.2,-1.2,0.7,1.5,0.0
2021-10-13,WSH,NYR,5,1,1,2021-10-13|WSH|NYR|5|1,2021,1500.0,1500.0,40.0,1500.0,1500.0,1506.6403254935656,1493.3596745064344,0.3,-1.2,3.0,3.0,0.8,1.0,3.0,0.4,-0.4,0.7,0.3,0.0
2021-10-14,ANA,WPG,4,1,1,2021-10-14|ANA|WPG|4|1,2021,1500.0,1500.0,40.0,1500.0,1500.0,1506.6403254935656,1493.3596745064344,,,3.0,3.0,0.3,-0.8,3.0,0.0,0.0,0.4,-0.4,0.0
2021-10-14,BUF,MTL,5,1,1,2021-10-14|BUF|MTL|5|1,2021,1500.0,1493.3596745064344,46.64032549356557,1500.0,1493.3596745064344,1506.4991922238844,1486.86048228255,0.5,-0.1,3.0,3.0,0.0,-1.0,1.0,1.0,2.5,0.0,-1.0,2.0
2021-10-14,CAR,NYI,6,3,1,2021-10-14|CAR|NYI|6|3,2021,1500.0,1500.0,40.0,1500.0,1500.0,1506.6403254935656,1493.3596745064344,0.75,0.5,3.0,3.0,0.4,-0.3,3.0,0.0,-2.0,0.3,-1.1,0.0
2021-10-14,CBJ,ARI,8,2,1,2021-10-14|CBJ|ARI|8|2,2021,1500.0,1500.0,40.0,1500.0,1500.0,1506.6403254935656,1493.3596745064344,0.8,1.1,3.0,3.0,0.8,0.5,3.0,0.9,1.9,0.4,-1.1,0.0
2021-10-14,COL,CHI,4,2,1,2021-10-14|COL|CHI|4|2,2021,1500.0,1500.0,40.0,1500.0,1500.0,1506.6403254935656,1493.3596745064344,0.2,-1.3,3.0,3.0,0.3,-0.9,3.0,0.3,-1.0,0.3,-1.2,0.0
2021-10-14,DET,TBL,6,7,0,2021-10-14|DET|TBL|6|7,2021,1500.0,1491.6403254935656,48.35967450643443,1500.0,1491.6403254935656,1491.4627623370598,1500.1775631565058,0.9,1.3,3.0,3.0,0.0,-4.0,2.0,0.6,0.3,1.0,1.0,1.0
